vehicle_model,mileage,maintenance_history,reported_issues,vehicle_age,fuel_type,transmission_type,engine_size,odometer_reading,last_service_date,warranty_expiry_date,owner_type,insurance_premium,service_history,accident_history,fuel_efficiency,tire_condition,brake_condition,battery_status,need_maintenance
Van,62015,Good,2,7,Petrol,Automatic,2500,132503,2023-04-19,2024-08-04,First,9343,6,3,19.76883928,Good,New,Weak,1
Car,68691,Good,4,7,Electric,Automatic,2000,136753,2023-05-30,2025-05-26,First,11535,6,1,12.53035437,Worn Out,Worn Out,New,1
Bus,34904,Good,5,7,Diesel,Manual,800,149921,2024-02-09,2024-05-22,Second,26701,4,1,16.9642913,Good,Good,Weak,1
Suv,41073,Average,3,7,Electric,Automatic,2000,39402,2024-02-16,2024-05-08,Third,16757,3,1,14.50564937,Worn Out,Worn Out,Good,1
Bus,44468,Average,5,2,Diesel,Manual,800,124216,2024-02-24,2026-03-27,First,6006,2,1,14.89820552,Worn Out,Worn Out,Weak,1
Van,59909,Poor,1,3,Electric,Manual,2000,140631,2023-10-09,2025-12-12,Third,17093,7,1,10.37827105,Worn Out,New,Good,0
Motorcycle,69646,Poor,2,5,Electric,Manual,2500,114225,2023-09-04,2026-03-03,First,27101,5,2,11.29985621,New,Good,Weak,1
Van,70792,Poor,3,10,Diesel,Manual,2000,35962,2024-02-22,2025-12-21,First,14789,1,0,17.38403931,Good,Worn Out,Weak,1
Van,31257,Poor,0,1,Electric,Manual,1000,34444,2023-09-14,2024-11-29,Second,27635,10,0,17.61700358,Good,Worn Out,Good,1
Motorcycle,32011,Average,3,4,Diesel,Manual,1500,38418,2023-09-26,2026-02-14,Second,25757,1,2,15.79236697,Worn Out,Worn Out,Good,1
Bus,71010,Good,4,1,Diesel,Automatic,1500,124384,2023-12-12,2025-07-13,Second,14945,9,0,13.80069519,Good,Worn Out,Good,1
Motorcycle,47363,Average,4,6,Diesel,Manual,2500,20685,2023-07-09,2026-01-13,Third,21950,4,0,18.5486434,Worn Out,Good,New,1
Car,56429,Average,2,3,Electric,Manual,2000,135276,2024-01-02,2026-03-12,Second,15445,8,2,18.48386661,New,New,Good,1
Bus,49541,Poor,0,4,Petrol,Manual,800,79271,2023-11-09,2025-06-24,Third,7780,4,2,18.61675345,Worn Out,New,Good,0
Truck,76059,Average,4,6,Petrol,Manual,2500,35193,2023-06-26,2025-03-01,Second,17423,9,2,11.23195141,New,Worn Out,Good,1
Van,56472,Good,3,2,Petrol,Automatic,800,131513,2023-11-14,2024-11-12,First,9255,3,2,17.73322527,New,Good,New,0
Truck,61869,Poor,5,6,Petrol,Automatic,2500,16987,2023-05-28,2024-06-16,Second,10810,5,0,12.1518556,Worn Out,New,Good,1
Van,44741,Poor,0,2,Petrol,Manual,800,33928,2023-09-18,2025-12-28,Third,12661,10,1,18.74407126,New,Good,Weak,1
Motorcycle,70418,Poor,1,1,Petrol,Manual,2500,105325,2023-05-12,2025-08-15,Third,20748,4,3,10.77008476,Worn Out,Worn Out,New,1
Bus,32329,Good,1,7,Diesel,Automatic,2500,20810,2023-08-03,2024-06-24,Third,19365,8,2,13.72123337,Good,Good,Good,1
Car,55803,Good,3,8,Petrol,Manual,1500,2040,2023-12-19,2024-07-11,First,17689,2,2,17.83958232,New,Worn Out,Weak,1
Suv,74838,Good,4,4,Diesel,Automatic,2500,139215,2023-07-17,2026-02-23,Second,16658,1,1,11.23999943,Worn Out,Worn Out,New,1
Motorcycle,49584,Average,1,6,Diesel,Automatic,2000,109800,2023-10-29,2025-06-23,First,25866,6,3,11.21246944,Worn Out,New,New,0
Suv,55853,Average,2,1,Petrol,Automatic,1500,110286,2024-01-23,2025-02-20,Third,16838,1,0,16.7150203,Good,Worn Out,New,1
Bus,79116,Good,2,5,Petrol,Manual,1000,43524,2023-09-08,2025-05-07,First,13565,1,3,10.65104378,Good,Worn Out,New,1
Truck,46926,Average,5,6,Electric,Automatic,1500,81390,2024-01-28,2026-01-06,Second,23839,6,3,16.07587786,New,Worn Out,Weak,1
Van,52523,Average,5,10,Petrol,Manual,2500,14329,2023-09-14,2026-02-04,Second,8370,6,3,13.18181734,Worn Out,Good,Weak,1
Van,44115,Good,0,9,Diesel,Automatic,1000,62743,2023-12-08,2025-12-22,Second,25469,6,0,17.94353571,Good,Good,New,0
Car,47741,Average,5,6,Electric,Manual,2500,69783,2023-12-29,2025-09-01,First,20893,1,1,11.69901186,Worn Out,New,Weak,1
Bus,35683,Good,3,1,Electric,Manual,2000,30726,2024-01-16,2025-07-31,Second,26078,10,0,17.25940887,Good,New,Weak,1
Suv,74839,Average,1,8,Diesel,Manual,2500,21548,2023-08-08,2025-12-20,Third,17439,7,3,17.39057413,Good,Good,New,0
Bus,54756,Poor,3,1,Petrol,Manual,2000,8573,2023-06-07,2024-05-16,Second,7341,4,2,13.85216779,Good,Worn Out,New,1
Bus,41110,Poor,4,6,Electric,Manual,2000,122947,2023-06-05,2025-01-30,Third,16162,6,2,19.6830014,Good,Good,New,1
Suv,67055,Average,2,9,Electric,Manual,1500,144985,2024-02-13,2024-05-09,First,14720,7,1,15.78018896,Good,Good,New,0
Truck,63898,Average,2,5,Petrol,Manual,2500,130478,2023-09-15,2025-07-21,Third,10233,4,1,10.48774801,Good,New,New,0
Car,36555,Poor,2,2,Diesel,Automatic,1000,83659,2024-02-26,2025-02-25,Third,7400,10,3,13.42768475,Good,New,Weak,1
Van,56657,Poor,5,3,Petrol,Manual,1000,143480,2024-02-06,2024-07-22,Third,21259,4,3,14.5301358,Worn Out,Good,New,1
Truck,30401,Good,0,5,Diesel,Manual,1000,145329,2023-06-19,2025-08-26,Third,10693,10,2,15.28946103,Worn Out,New,Good,1
Suv,36592,Good,2,9,Electric,Manual,2000,63029,2024-01-26,2024-11-10,Second,27973,5,0,13.71507369,Good,New,Good,0
Motorcycle,54705,Poor,4,10,Diesel,Automatic,2000,106831,2023-06-06,2024-10-18,Second,14881,10,0,14.57547707,Worn Out,Good,Weak,1
Bus,71918,Good,0,9,Electric,Manual,2000,116558,2023-07-09,2024-08-17,Second,20491,2,3,18.38424596,Worn Out,Worn Out,Weak,1
Car,61024,Poor,1,4,Diesel,Automatic,1000,110145,2023-08-13,2024-06-21,Second,11064,5,3,14.830855,Worn Out,Good,Good,0
Motorcycle,54714,Poor,4,9,Diesel,Automatic,1500,144382,2023-10-14,2025-10-27,Third,22434,10,0,13.68771418,Worn Out,Worn Out,Good,1
Suv,49158,Good,5,8,Electric,Automatic,2500,19447,2023-07-12,2024-10-11,First,20273,2,1,18.16725268,New,Worn Out,Weak,1
Suv,39946,Good,1,1,Electric,Automatic,1500,65476,2023-11-06,2025-03-13,Third,8630,1,2,16.551286,Worn Out,Worn Out,New,1
Van,57754,Good,0,1,Diesel,Manual,2000,92292,2023-11-21,2025-07-18,Second,20553,2,2,15.5996241,Good,Good,Weak,1
Bus,62498,Poor,5,7,Electric,Manual,2000,59814,2023-07-12,2025-09-21,Second,11032,5,1,14.68146909,New,New,New,1
Suv,78851,Good,1,1,Electric,Automatic,2000,107606,2023-09-20,2024-08-15,First,12611,4,1,12.22172636,Good,Worn Out,New,1
Car,53476,Good,1,1,Petrol,Manual,2000,146845,2023-11-10,2024-07-10,First,6257,1,0,19.44644943,New,Worn Out,New,1
Car,30710,Average,0,9,Petrol,Manual,1500,24087,2023-06-02,2025-10-23,Second,18220,2,1,11.95762464,Good,New,Good,0
Bus,52876,Poor,5,2,Electric,Manual,1500,131533,2023-11-08,2026-02-02,Third,15034,9,3,17.92660852,Worn Out,New,Weak,1
Van,38812,Poor,3,3,Petrol,Manual,1500,29121,2023-07-17,2025-07-20,Second,17839,9,3,10.3934075,New,New,Weak,1
Car,71937,Good,0,7,Petrol,Automatic,2500,57468,2024-02-26,2024-11-27,First,5150,3,3,15.65823152,Worn Out,New,Weak,1
Van,45748,Average,5,2,Petrol,Manual,2500,32400,2023-09-27,2025-06-11,Second,14792,6,2,12.89184856,New,Worn Out,Good,1
Motorcycle,54077,Poor,3,9,Diesel,Manual,1500,67119,2023-06-01,2024-11-11,Third,20164,5,2,15.19557477,Good,Good,Weak,1
Van,72545,Good,5,5,Electric,Automatic,2500,68168,2023-08-29,2025-08-08,Second,24658,7,3,17.34147598,New,New,Good,1
Van,36512,Good,1,6,Electric,Automatic,1500,99784,2023-04-29,2025-09-08,First,11985,9,0,10.91554555,New,Good,New,0
Car,49100,Poor,4,9,Electric,Manual,1000,76554,2023-05-26,2024-06-29,First,17262,10,3,17.73869497,New,Good,Weak,1
Van,69092,Good,0,6,Petrol,Automatic,1500,88922,2024-02-14,2024-12-13,Second,10985,2,1,11.85352178,New,Worn Out,New,1
Truck,38605,Poor,5,2,Electric,Manual,1000,63228,2023-10-30,2024-08-02,First,25082,3,1,12.90545867,New,New,Weak,1
Suv,34349,Average,2,3,Diesel,Manual,1000,35209,2024-02-06,2024-07-18,First,18606,8,2,14.53815679,New,Worn Out,Weak,1
Suv,74854,Good,0,9,Electric,Manual,2500,70302,2023-07-19,2025-07-12,First,14292,2,0,12.66515387,New,Worn Out,New,1
Van,61194,Poor,2,9,Petrol,Automatic,1500,56256,2023-10-02,2025-07-02,Third,9809,8,0,19.46709385,New,New,Good,1
Motorcycle,50833,Good,0,6,Petrol,Automatic,2000,107437,2023-06-24,2025-01-05,Second,11705,3,1,17.98466668,Good,Worn Out,Weak,1
Car,50265,Good,0,3,Electric,Automatic,2500,143314,2023-11-01,2025-06-20,Second,25936,7,0,12.25637995,Worn Out,Worn Out,Weak,1
Suv,56947,Good,0,10,Petrol,Manual,800,68147,2023-11-21,2025-03-17,First,26129,1,1,17.79859191,Good,Good,Good,0
Bus,75191,Poor,5,6,Petrol,Manual,1500,52909,2023-08-12,2025-12-10,First,5521,10,3,17.5747483,Worn Out,New,Weak,1
Car,78886,Poor,2,1,Electric,Manual,2000,148834,2023-05-30,2026-02-20,Second,28148,7,3,12.54642012,Worn Out,New,New,1
Truck,72302,Poor,3,10,Petrol,Automatic,2500,57272,2023-05-12,2024-06-07,Third,22913,9,1,13.31964589,Good,New,Good,1
Bus,42819,Good,4,4,Petrol,Automatic,2000,103206,2024-01-16,2024-08-30,Third,15820,10,2,11.94581178,New,New,New,1
Car,72368,Average,4,1,Diesel,Manual,2000,142904,2024-02-26,2025-01-01,Second,13084,9,3,12.08152424,New,Worn Out,New,1
Bus,74931,Good,5,3,Petrol,Manual,800,36697,2023-06-01,2026-02-10,First,29087,3,2,13.00818035,New,New,Good,1
Van,62018,Average,2,10,Electric,Manual,1500,116155,2023-08-31,2025-08-01,Third,22340,9,2,10.76812597,New,Worn Out,Weak,1
Truck,36888,Good,0,2,Diesel,Manual,1500,64899,2023-10-27,2026-01-03,Second,15276,3,0,16.58003342,New,New,New,0
Car,32712,Poor,4,10,Electric,Manual,800,27496,2023-06-25,2024-07-22,Second,16733,7,0,13.98333682,Good,Worn Out,Weak,1
Car,66006,Poor,2,6,Petrol,Manual,800,57373,2023-09-24,2025-02-07,First,10583,8,1,11.39274765,Worn Out,Worn Out,Good,1
Truck,54090,Good,5,6,Diesel,Manual,1000,34120,2023-11-01,2024-07-20,Second,18161,1,0,10.92280545,Worn Out,Worn Out,Good,1
Truck,32895,Good,4,8,Diesel,Automatic,2500,8548,2023-07-13,2024-09-20,Second,17955,7,0,10.411712,New,Worn Out,New,1
Suv,69929,Poor,0,8,Petrol,Manual,1500,127381,2023-05-18,2024-09-23,Third,14898,1,0,16.46947176,New,Good,New,0
Suv,47677,Good,5,1,Petrol,Manual,2000,86666,2023-09-05,2025-07-18,First,5379,5,3,17.58305666,Worn Out,Worn Out,Weak,1
Motorcycle,61681,Average,0,4,Diesel,Manual,1000,94847,2024-02-28,2024-12-01,Third,25748,9,1,18.93298994,New,New,New,0
Suv,31876,Good,3,2,Electric,Manual,1000,99443,2023-10-12,2025-02-10,Second,12166,4,3,11.63590162,Good,New,Good,0
Motorcycle,52189,Average,1,1,Electric,Automatic,2500,10779,2023-09-14,2025-08-09,Second,21330,8,1,16.72805978,Worn Out,Good,New,0
Van,75477,Good,5,3,Petrol,Automatic,1000,62504,2023-06-12,2024-11-05,Second,10926,2,0,18.77521346,New,Good,New,1
Car,45547,Good,4,6,Diesel,Automatic,1500,89744,2023-08-19,2025-01-14,First,20676,2,0,16.19317938,New,Worn Out,Weak,1
Truck,65702,Poor,3,7,Petrol,Automatic,2500,7431,2023-10-25,2024-08-03,First,20978,1,1,10.76391262,Worn Out,New,Good,1
Truck,66764,Poor,5,7,Diesel,Manual,1500,81788,2023-11-18,2024-12-08,First,28953,3,1,14.1259783,Good,New,Weak,1
Bus,60777,Average,4,1,Electric,Automatic,2500,15870,2023-06-24,2024-07-17,Third,20913,8,0,13.77864963,Good,Worn Out,New,1
Van,63446,Good,4,5,Petrol,Manual,2000,111535,2023-04-21,2026-03-27,Third,25161,4,1,18.55651545,New,Worn Out,New,1
Truck,50044,Poor,4,4,Diesel,Manual,2500,62701,2023-06-22,2024-07-19,First,19569,8,1,17.44130908,Worn Out,New,New,1
Bus,54953,Average,1,9,Diesel,Automatic,800,94369,2023-09-03,2024-09-10,Second,24554,2,3,18.15001929,Worn Out,Worn Out,Weak,1
Motorcycle,58081,Good,0,5,Diesel,Manual,2500,19445,2023-08-26,2024-08-08,Second,12786,10,2,15.67420247,Worn Out,Good,Weak,1
Motorcycle,52628,Average,1,7,Electric,Automatic,2500,106852,2023-05-22,2026-03-01,Second,28675,5,0,17.12832103,Worn Out,New,New,0
Bus,60241,Average,4,1,Diesel,Manual,2500,109843,2024-01-28,2024-05-19,Third,10638,1,1,18.05581212,Good,Worn Out,Weak,1
Suv,70238,Poor,3,1,Petrol,Automatic,800,77907,2023-09-12,2026-03-25,First,13662,1,1,11.35227419,Good,Good,Good,1
Van,78734,Poor,0,7,Diesel,Automatic,2000,117197,2023-08-08,2024-07-10,First,27166,2,3,10.44679202,New,New,Good,0
Bus,70002,Poor,4,7,Diesel,Manual,2000,54485,2023-06-13,2024-11-23,Third,19978,8,2,11.31860917,Good,New,Weak,1
Suv,79563,Poor,0,7,Petrol,Automatic,2500,59536,2023-11-14,2024-11-29,Third,15672,2,3,16.199778,Good,New,Weak,1
Bus,38073,Poor,1,5,Diesel,Automatic,2000,102049,2023-05-13,2026-01-09,First,11709,5,2,15.25718702,New,Good,Weak,1
Car,64032,Good,3,9,Petrol,Manual,800,22858,2023-07-22,2025-10-08,Third,13484,3,3,18.30585739,Worn Out,Worn Out,New,1
Van,36336,Average,3,3,Electric,Manual,1000,65570,2023-12-19,2025-10-27,First,15740,1,2,15.63364585,New,Worn Out,Weak,1
Bus,67790,Average,5,6,Petrol,Manual,1000,21649,2023-05-22,2025-07-15,Second,23982,5,1,18.03539515,Worn Out,Good,New,1
Car,41920,Good,3,2,Petrol,Automatic,1000,2035,2024-01-10,2025-02-22,Third,22224,7,2,16.01971468,Worn Out,New,Weak,1
Motorcycle,72806,Average,0,8,Petrol,Automatic,2500,93477,2023-10-26,2024-07-18,Third,9299,1,1,18.46586193,New,Good,Weak,1
Van,71005,Poor,5,7,Petrol,Manual,1500,105622,2023-09-03,2025-12-12,Third,29528,1,2,14.37848143,New,Good,Weak,1
Van,44210,Poor,2,1,Diesel,Automatic,2000,141288,2023-05-09,2024-09-05,Third,12018,10,2,19.52330711,Worn Out,Good,Good,1
Suv,76802,Good,4,10,Electric,Manual,2000,103637,2023-05-06,2024-09-16,First,22801,3,0,12.91734857,Worn Out,New,Weak,1
Motorcycle,49675,Poor,3,4,Petrol,Automatic,1500,71723,2023-06-16,2025-11-23,Second,21407,5,0,12.21137644,New,New,Weak,1
Bus,66436,Good,2,6,Electric,Manual,1500,144940,2023-12-04,2025-12-07,Third,10654,10,2,15.38592095,Good,New,Good,1
Bus,56900,Average,4,3,Diesel,Manual,800,148616,2023-08-26,2024-08-13,First,20481,8,0,15.74621483,New,New,Good,1
Truck,67725,Poor,0,10,Petrol,Automatic,2000,98033,2024-01-10,2024-05-13,First,27542,10,2,10.16676903,Good,Good,Weak,1
Bus,49117,Good,4,8,Diesel,Manual,1000,125669,2024-01-01,2024-09-13,First,24068,8,2,10.8287392,Worn Out,Good,Weak,1
Bus,55120,Good,0,2,Diesel,Automatic,2500,97541,2023-07-17,2025-09-30,Third,26723,2,3,19.16618636,New,New,New,0
Car,37647,Poor,2,10,Electric,Automatic,800,61489,2023-05-01,2026-02-03,First,8866,10,1,13.80379582,New,New,Weak,1
Van,63899,Good,3,5,Petrol,Automatic,1000,88724,2023-05-16,2024-12-25,Second,26898,8,0,11.31355731,Good,Good,Weak,1
Car,43138,Average,4,8,Diesel,Automatic,1000,29258,2023-11-13,2024-12-24,Second,7958,3,3,16.98698724,New,Good,Good,1
Motorcycle,64176,Good,1,8,Electric,Automatic,2500,11974,2023-09-04,2026-01-17,Third,23143,8,2,13.14140768,Worn Out,New,New,1
Van,31987,Good,3,8,Petrol,Automatic,2500,74761,2023-04-19,2025-05-20,First,7518,6,1,15.38526475,New,Good,Good,0
Van,46703,Good,3,1,Electric,Automatic,800,118642,2023-06-28,2024-12-16,Second,13275,3,2,15.05107967,Worn Out,Worn Out,Weak,1
Van,79917,Average,2,2,Electric,Automatic,2500,73823,2024-01-19,2025-10-26,Second,12957,2,1,10.19288416,Worn Out,New,Good,0
Car,63324,Good,3,1,Petrol,Automatic,1500,26714,2023-03-31,2024-06-17,First,10225,4,0,15.74822636,Worn Out,Worn Out,New,1
Suv,54167,Good,0,2,Petrol,Manual,1500,38763,2023-09-26,2025-05-23,First,25300,1,3,10.37485989,New,New,Good,0
Van,58107,Good,2,8,Petrol,Automatic,1000,116660,2023-07-27,2025-05-30,Third,9711,7,2,17.24630462,Worn Out,Good,New,0
Car,36750,Good,0,1,Diesel,Automatic,1500,83519,2023-10-22,2025-09-02,First,20670,1,3,15.33103983,Good,Worn Out,Weak,1
Truck,65674,Good,1,3,Petrol,Manual,2000,53365,2023-11-09,2025-07-25,Third,28506,9,1,15.85582759,Worn Out,Good,New,0
Truck,31542,Good,0,5,Petrol,Manual,800,65306,2023-09-10,2025-06-01,Second,23385,4,3,18.68454649,New,Worn Out,Good,1
Motorcycle,78080,Average,5,1,Electric,Manual,2500,86196,2023-05-07,2025-02-13,Third,10766,4,1,11.17129309,Worn Out,Good,Weak,1
Suv,79128,Average,2,9,Electric,Automatic,1000,43910,2023-05-25,2025-09-26,Second,27597,10,2,11.37977386,Good,Good,Good,1
Bus,30734,Good,4,8,Petrol,Automatic,1500,57727,2023-04-04,2024-11-04,First,8335,7,1,15.86674636,New,New,Good,1
Car,66886,Poor,1,6,Diesel,Automatic,2000,69598,2024-02-23,2024-08-31,Third,9708,4,0,15.50695607,Worn Out,Worn Out,New,1
Truck,34506,Poor,5,7,Electric,Automatic,1500,29412,2023-07-15,2025-03-29,Second,25737,7,0,13.01823517,New,Worn Out,New,1
Suv,50904,Good,1,3,Diesel,Automatic,1500,30777,2023-09-19,2026-01-15,First,11694,5,2,13.59157985,Good,New,Weak,1
Van,45545,Good,0,6,Diesel,Automatic,2500,93329,2023-11-04,2025-03-18,First,15282,6,0,18.3981709,Worn Out,Worn Out,New,1
Bus,66875,Good,1,2,Electric,Automatic,2000,44767,2024-02-26,2024-08-30,Second,29592,6,1,16.92925211,Good,New,Weak,1
Motorcycle,63455,Poor,0,6,Electric,Automatic,800,89917,2023-04-14,2026-01-26,Second,22200,9,3,17.07574436,Worn Out,Good,New,1
Car,58406,Good,2,2,Petrol,Automatic,800,121806,2023-09-02,2026-03-07,Third,25609,1,2,13.3764689,Worn Out,Good,New,0
Car,56921,Poor,2,4,Electric,Automatic,2500,39948,2024-02-24,2024-10-28,Second,6547,3,3,11.80583394,Worn Out,New,Weak,1
Car,65440,Average,0,3,Diesel,Automatic,1500,83982,2024-02-02,2024-12-26,Second,26075,10,2,18.34673594,Good,Worn Out,Weak,1
Bus,64915,Poor,1,10,Electric,Automatic,2000,13163,2023-11-20,2024-10-19,First,29781,8,1,13.36437149,Worn Out,New,New,0
Suv,75994,Poor,0,8,Petrol,Manual,1000,63345,2023-05-06,2024-12-31,Second,29615,9,1,17.60624519,Worn Out,Worn Out,Good,1
Bus,62817,Good,2,10,Electric,Automatic,1000,1552,2023-10-12,2025-05-31,Third,13777,2,0,19.97638568,New,Worn Out,New,1
Suv,53119,Good,5,8,Diesel,Automatic,2000,10192,2023-11-15,2025-04-06,Second,16196,6,0,12.80004934,Good,New,Weak,1
Motorcycle,56266,Good,3,1,Petrol,Manual,2500,66392,2024-02-13,2024-08-10,First,5800,3,2,17.31639875,Good,Good,Good,0
Bus,45182,Poor,0,3,Diesel,Automatic,2500,55974,2024-01-09,2025-01-03,First,18845,2,2,17.61632191,New,New,Weak,1
Van,74526,Good,2,2,Diesel,Automatic,2000,144934,2023-03-31,2025-12-17,Third,6377,7,1,10.6361552,Worn Out,Good,New,0
Car,46246,Good,4,1,Diesel,Automatic,800,39244,2023-10-05,2025-09-20,Second,20719,8,2,11.71923837,New,Worn Out,Good,1
Car,40732,Good,2,4,Diesel,Automatic,1000,10120,2023-08-11,2025-10-14,Third,27719,8,0,13.98944276,New,Good,Good,0
Suv,52828,Poor,3,8,Petrol,Automatic,2000,98427,2023-05-03,2025-07-18,First,10451,3,0,14.33539763,Worn Out,Worn Out,New,1
Suv,69015,Good,0,7,Electric,Manual,1500,4628,2023-08-14,2025-01-29,Third,12586,10,1,13.19657065,Good,New,New,0
Motorcycle,70781,Poor,0,8,Petrol,Manual,2000,29753,2023-09-29,2026-03-25,First,12301,5,0,13.19371485,New,Worn Out,Good,1
Van,72124,Good,5,2,Petrol,Automatic,1500,94934,2023-12-08,2025-07-16,Third,24620,10,2,19.83217655,Good,Worn Out,Weak,1
Van,36684,Average,0,7,Petrol,Automatic,2000,77941,2023-09-28,2025-08-19,First,17786,6,0,13.33849776,Good,Good,Good,0
Suv,61430,Poor,4,10,Electric,Manual,1500,58507,2024-02-02,2025-06-26,First,10349,8,1,12.91559854,Good,Good,Weak,1
Van,76106,Poor,0,1,Petrol,Manual,800,99507,2023-05-24,2024-05-30,Second,6684,9,2,16.91074319,New,Good,Weak,1
Suv,69096,Poor,5,1,Petrol,Automatic,2000,143248,2024-01-27,2025-08-04,First,25913,1,2,16.79728545,New,New,Weak,1
Bus,65343,Good,0,2,Petrol,Automatic,2500,135940,2023-10-14,2024-09-19,Third,18271,10,0,13.29545762,New,Good,Weak,1
Truck,74363,Good,0,9,Electric,Manual,1500,110567,2023-06-26,2025-07-21,Third,10460,6,0,10.21180289,Good,Good,Weak,1
Suv,60380,Good,4,9,Diesel,Automatic,1000,30072,2023-04-06,2025-11-16,Third,18895,7,0,12.60754132,Good,New,Weak,1
Suv,58610,Average,5,6,Diesel,Automatic,800,133076,2023-07-27,2025-09-17,First,18897,4,1,11.57891109,Worn Out,Worn Out,Weak,1
Bus,56292,Poor,1,10,Electric,Manual,1500,119203,2023-09-16,2024-08-23,Third,9835,9,3,10.99554086,Good,Worn Out,Weak,1
Bus,61571,Average,5,7,Electric,Manual,2500,119285,2024-02-02,2025-11-16,Second,25774,9,3,18.71867274,Good,Good,New,1
Suv,47973,Poor,2,3,Petrol,Automatic,800,142684,2023-10-16,2024-09-29,Second,16663,7,3,18.51168708,Good,Good,Weak,1
Car,51289,Poor,1,4,Diesel,Automatic,1500,91079,2023-12-20,2025-04-11,Second,6630,6,3,16.89406561,New,Worn Out,New,1
Van,53718,Average,2,3,Electric,Automatic,1500,142959,2023-09-30,2025-04-03,Third,26387,2,2,19.56460971,Good,Worn Out,Good,1
Motorcycle,48289,Good,0,6,Petrol,Manual,800,66861,2023-07-23,2025-03-26,First,6476,1,1,15.3385211,Worn Out,New,Weak,1
Car,64464,Average,5,1,Petrol,Manual,2000,32613,2023-05-11,2025-10-21,Third,22590,3,3,16.33469194,New,New,New,1
Suv,62135,Average,0,2,Diesel,Manual,1000,88091,2023-12-26,2026-01-05,Second,12062,2,1,14.48371444,Good,New,Weak,1
Motorcycle,75191,Good,2,3,Diesel,Manual,1000,100970,2023-11-15,2025-02-03,Second,6132,10,1,17.85330855,New,Good,Good,0
Truck,60747,Poor,1,6,Petrol,Manual,1000,143313,2023-10-31,2025-06-20,Third,6855,9,3,16.38817552,Good,Worn Out,Weak,1
Motorcycle,59317,Average,1,2,Diesel,Manual,1500,141774,2023-08-06,2026-02-14,First,23393,9,2,14.12372408,Worn Out,New,Good,1
Van,49260,Poor,0,5,Electric,Manual,800,111469,2024-01-15,2025-12-10,First,9614,9,2,11.91480791,Worn Out,Worn Out,Weak,1
Bus,73389,Poor,0,10,Petrol,Manual,1000,129037,2023-08-29,2024-11-20,Second,28131,3,1,11.15770477,New,Good,Weak,1
Suv,48631,Good,1,5,Electric,Automatic,1000,93014,2023-10-11,2025-09-16,Second,20212,2,2,19.98446239,Worn Out,New,Weak,1
Truck,61564,Average,4,7,Diesel,Manual,800,16525,2023-12-19,2024-12-13,Second,19197,1,3,13.46059037,Good,Worn Out,Good,1
Motorcycle,43779,Poor,5,8,Electric,Automatic,1000,6418,2023-04-29,2025-08-24,First,5441,6,1,14.61650512,Good,New,New,1
Bus,55203,Good,0,1,Electric,Automatic,800,138409,2023-10-29,2024-10-06,Second,28361,5,1,12.16995965,New,Worn Out,Weak,1
Suv,53387,Poor,0,10,Diesel,Manual,1000,104063,2023-10-12,2025-04-11,Second,28648,4,1,16.24780242,Good,Worn Out,New,1
Van,59674,Poor,4,5,Petrol,Manual,2500,113474,2023-11-08,2025-11-23,First,15381,7,2,15.38165254,New,Good,New,1
Truck,73572,Good,5,8,Diesel,Manual,1500,90966,2023-06-13,2024-10-09,Second,6949,2,3,19.31702223,Worn Out,Good,New,1
Truck,33668,Poor,0,7,Electric,Manual,1500,38611,2023-05-25,2025-03-21,First,25911,8,1,18.64846502,New,Worn Out,Weak,1
Van,63961,Poor,5,1,Petrol,Manual,2500,138333,2023-11-06,2025-08-29,Third,17545,5,0,18.3616176,New,New,New,1
Car,68729,Poor,0,3,Electric,Manual,2000,117044,2023-12-28,2025-11-23,Third,5141,10,0,18.98205719,Worn Out,New,Good,0
Suv,74267,Poor,2,4,Electric,Manual,2500,26165,2023-07-13,2025-07-21,First,19495,3,3,12.33266647,Worn Out,Good,New,1
Car,56013,Poor,1,3,Diesel,Automatic,1000,78696,2023-07-21,2024-07-21,Second,18543,10,0,15.84039095,New,Worn Out,New,1
Truck,62929,Good,5,4,Diesel,Manual,800,107409,2023-08-03,2024-07-30,Second,15684,10,1,14.33431762,New,Good,Weak,1
Bus,70923,Good,0,5,Electric,Manual,800,98667,2023-10-10,2024-09-26,Third,25231,10,3,16.89566628,Good,Worn Out,Weak,1
Bus,53405,Good,4,1,Diesel,Automatic,1500,132266,2023-04-30,2025-11-15,Second,21388,6,0,16.04858473,Good,New,New,1
Suv,72249,Good,4,7,Electric,Manual,800,88281,2024-02-08,2025-08-05,Third,18531,5,2,17.24289439,Good,Good,Good,1
Car,42065,Good,5,4,Petrol,Automatic,2000,30835,2023-09-08,2025-01-05,First,16385,4,1,18.21142364,New,Good,New,1
Motorcycle,67026,Good,3,2,Diesel,Automatic,2000,5482,2023-09-20,2025-02-23,First,14358,5,1,15.03802468,Worn Out,Worn Out,Good,1
Bus,44182,Average,3,3,Electric,Manual,2500,4394,2023-09-11,2025-09-16,Third,19110,10,1,15.84235844,Worn Out,New,Good,1
Van,50653,Average,0,7,Diesel,Automatic,2500,73315,2023-08-18,2024-07-30,Third,12261,1,0,12.30363841,Good,Worn Out,Good,1
Car,35993,Poor,5,4,Electric,Automatic,800,1649,2023-11-05,2025-01-24,First,21233,8,3,19.61254642,Good,New,New,1
Van,60120,Poor,4,8,Electric,Manual,2000,19938,2024-01-25,2025-11-01,Third,8926,2,0,19.21376112,Worn Out,Worn Out,New,1
