OBD_Code,Description,Description_Length,Prefix
P02EF,Cylinder 2 Injector Circuit Range/Performance,45,P0
P02F0,Cylinder 3 Injector Circuit Range/Performance,45,P0
P02F1,Cylinder 4 Injector Circuit Range/Performance,45,P0
P02F2,Cylinder 5 Injector Circuit Range/Performance,45,P0
P02F3,Cylinder 6 Injector Circuit Range/Performance,45,P0
P02F4,Cylinder 7 Injector Circuit Range/Performance,45,P0
P02F5,Cylinder 8 Injector Circuit Range/Performance,45,P0
P02F6,Cylinder 9 Injector Circuit Range/Performance,45,P0
P02F7,Cylinder 10 Injector Circuit Range/Performance,46,P0
P02F8,Cylinder 11 Injector Circuit Range/Performance,46,P0
P02F9,Cylinder 12 Injector Circuit Range/Performance,46,P0
P02FA,Diesel Intake Air Flow Position Sensor Minimum/Maximum Stop Performance,71,P0
P02FB,Cold Start Fuel Injection Control Circuit/Open,46,P0
P02FC,Cold Start Fuel Injection Control Circuit Low,45,P0
P02FD,Cold Start Fuel Injection Control Circuit High,46,P0
P02FE,Cold Start Fuel Injection Control Circuit Range/Performance,59,P0
P02FF,Propulsion System Inactive Timer Performance,44,P0
P0300,Random/Multiple Cylinder Misfire Detected,41,P0
P0301,Cylinder 1 Misfire Detected,27,P0
P0302,Cylinder 2 Misfire Detected,27,P0
P0303,Cylinder 3 Misfire Detected,27,P0
P0304,Cylinder 4 Misfire Detected,27,P0
P0305,Cylinder 5 Misfire Detected,27,P0
P0306,Cylinder 6 Misfire Detected,27,P0
P0307,Cylinder 7 Misfire Detected,27,P0
P0308,Cylinder 8 Misfire Detected,27,P0
P0309,Cylinder 9 Misfire Detected,27,P0
P030A,Ignition A Control Signal Circuit/Open,38,P0
P030B,Ignition A Control Signal Circuit Low,37,P0
P030C,Ignition A Control Signal Circuit High,38,P0
P030D,Ignition B Control Signal Circuit/Open,38,P0
P030E,Ignition B Control Signal Circuit Low,37,P0
P030F,Ignition B Control Signal Circuit High,38,P0
P0310,Cylinder 10 Misfire Detected,28,P0
P0311,Cylinder 11 Misfire Detected,28,P0
P0312,Cylinder 12 Misfire Detected,28,P0
P0313,Misfire Detected With Low Fuel,30,P0
P0314,Single Cylinder Misfire (Cylinder not Specified),48,P0
P0315,Crankshaft Position System Variation Not Learned,48,P0
P0316,Engine Misfire Detected on Startup (First 1000 Revolutions),59,P0
P0317,Rough Road Hardware Not Present,31,P0
P0318,Rough Road Sensor A Signal Circuit,34,P0
P0319,Rough Road Sensor B Signal Circuit,34,P0
P031A,Ignition C Control Signal Circuit/Open,38,P0
P031B,Ignition C Control Signal Circuit Low,37,P0
P031C,Ignition C Control Signal Circuit High,38,P0
P031D,Ignition D Control Signal Circuit/Open,38,P0
P031E,Ignition D Control Signal Circuit Low,37,P0
P031F,Ignition D Control Signal Circuit High,38,P0
P0320,Ignition/Distributor Engine Speed Input Circuit,47,P0
P0321,Ignition/Distributor Engine Speed Input Circuit Range/Performance,65,P0
P0322,Ignition/Distributor Engine Speed Input Circuit No Signal,57,P0
P0323,Ignition/Distributor Engine Speed Input Circuit Intermittent,60,P0
P0324,Knock/Combustion Vibration Control System Error,47,P0
P0325,Knock/Combustion Vibration Sensor A Circuit,43,P0
P0326,Knock/Combustion Vibration Sensor A Circuit Range/Performance,61,P0
P0327,Knock/Combustion Vibration Sensor A Circuit Low,47,P0
P0328,Knock/Combustion Vibration Sensor A Circuit High,48,P0
P0329,Knock/Combustion Vibration Sensor A Circuit Intermittent,56,P0
P032A,Knock/Combustion Vibration Sensor C Circuit,43,P0
P032B,Knock/Combustion Vibration Sensor C Circuit Range/Performance,61,P0
P032C,Knock/Combustion Vibration Sensor C Circuit Low,47,P0
P032D,Knock/Combustion Vibration Sensor C Circuit High,48,P0
P032E,Knock/Combustion Vibration Sensor C Circuit Intermittent,56,P0
P032F,Combustion Engine Producing Insufficent Torque,46,P0
P0330,Knock/Combustion Vibration Sensor B Circuit,43,P0
P0331,Knock/Combustion Vibration Sensor B Circuit Range/Performance,61,P0
P0332,Knock/Combustion Vibration Sensor B Circuit Low,47,P0
P0333,Knock/Combustion Vibration Sensor B Circuit High,48,P0
P0334,Knock/Combustion Vibration Sensor B Circuit Intermittent,56,P0
P0335,Crankshaft Position Sensor A Circuit,36,P0
P0336,Crankshaft Position Sensor A Circuit Range/Performance,54,P0
P0337,Crankshaft Position Sensor A Circuit Low,40,P0
P0338,Crankshaft Position Sensor A Circuit High,41,P0
P0339,Crankshaft Position Sensor A Circuit Intermittent,49,P0
P033A,Knock/Combustion Vibration Sensor D Circuit,43,P0
P033B,Knock/Combustion Vibration Sensor D Circuit Range/Performance,61,P0
P033C,Knock/Combustion Vibration Sensor D Circuit Low,47,P0
P033D,Knock/Combustion Vibration Sensor D Circuit High,48,P0
P033E,Knock/Combustion Vibration Sensor D Circuit Intermittent,56,P0
P033F,Crankshaft/Camshaft Loss Of Synchronization,43,P0
P0340,Camshaft Position Sensor A Circuit Bank 1 or Single Sensor,58,P0
P0341,Camshaft Position Sensor A Circuit Range/Performance Bank 1 or Single Sensor,76,P0
P0342,Camshaft Position Sensor A Circuit Low Bank 1 or Single Sensor,62,P0
P0343,Camshaft Position Sensor A Circuit High Bank 1 or Single Sensor,63,P0
P0344,Camshaft Position Sensor A Circuit Intermittent Bank 1 or Single Sensor,71,P0
P0345,Camshaft Position Sensor A Circuit Bank 2,41,P0
P0346,Camshaft Position Sensor A Circuit Range/Performance Bank 2,59,P0
P0347,Camshaft Position Sensor A Circuit Low Bank 2,45,P0
P0348,Camshaft Position Sensor A Circuit High Bank 2,46,P0
P0349,Camshaft Position Sensor A Circuit Intermittent Bank 2,54,P0
P034A,Crankshaft Position Sensor - Crankshaft Start Position Incorrect,64,P0
P034B,Crankshaft Position Sensor - Crankshaft Direction Incorrect,59,P0
P034C,Ion Sense System Performance,28,P0
P0350,Ignition Coil Primary/Secondary Circuit/Open,44,P0
P0351,Ignition Coil A Primary Control Circuit/Open,44,P0
P0352,Ignition Coil B Primary Control Circuit/Open,44,P0
P0353,Ignition Coil C Primary Control Circuit/Open,44,P0
P0354,Ignition Coil D Primary Control Circuit/Open,44,P0
P0355,Ignition Coil E Primary Control Circuit/Open,44,P0
P0356,Ignition Coil F Primary Control Circuit/Open,44,P0
P0357,Ignition Coil G Primary Control Circuit/Open,44,P0
P0358,Ignition Coil H Primary Control Circuit/Open,44,P0
P0359,Ignition Coil I Primary Control Circuit/Open,44,P0
P035A,Ignition E Control Signal Circuit/Open,38,P0
P035B,Ignition E Control Signal Circuit Low,37,P0
P035C,Ignition E Control Signal Circuit High,38,P0
P035D,Ignition F Control Signal Circuit/Open,38,P0
P035E,Ignition F Control Signal Circuit Low,37,P0
P035F,Ignition F Control Signal Circuit High,38,P0
P0360,Ignition Coil J Primary Control Circuit/Open,44,P0
P0361,Ignition Coil K Primary Control Circuit/Open,44,P0
P0362,Ignition Coil L Primary Control Circuit/Open,44,P0
P0363,Misfire Detected - Fueling Disabled,35,P0
P0364,DC/AC Converter Control Module Control Circuit Range/Performance,64,P0
P0365,Camshaft Position Sensor B Circuit Bank 1,41,P0
P0366,Camshaft Position Sensor B Circuit Range/Performance Bank 1,59,P0
P0367,Camshaft Position Sensor B Circuit Low Bank 1,45,P0
P0368,Camshaft Position Sensor B Circuit High Bank 1,46,P0
P0369,Camshaft Position Sensor B Circuit Intermittent Bank 1,54,P0
P036A,Ignition G Control Signal Circuit/Open,38,P0
P036B,Ignition G Control Signal Circuit Low,37,P0
P036C,Ignition G Control Signal Circuit High,38,P0
P036D,Ignition H Control Signal Circuit/Open,38,P0
P036E,Ignition H Control Signal Circuit Low,37,P0
P036F,Ignition H Control Signal Circuit High,38,P0
P0370,Timing Reference High Resolution Signal A,41,P0
P0371,Timing Reference High Resolution Signal A Too Many Pulses,57,P0
P0372,Timing Reference High Resolution Signal A Too Few Pulses,56,P0
P0373,Timing Reference High Resolution Signal A Intermittent/Erratic Pulses,69,P0
P0374,Timing Reference High Resolution Signal A No Pulses,51,P0
P0375,Timing Reference High Resolution Signal B,41,P0
P0376,Timing Reference High Resolution Signal B Too Many Pulses,57,P0
P0377,Timing Reference High Resolution Signal B Too Few Pulses,56,P0
P0378,Timing Reference High Resolution Signal B Intermittent/Erratic Pulses,69,P0
P0379,Timing Reference High Resolution Signal B No Pulses,51,P0
P037A,Glow Plug/Heater Indicator Control Circuit Low,46,P0
P037B,Glow Plug/Heater Indicator Control Circuit High,47,P0
P037C,Cold Start Camshaft Profile System Performance,46,P0
P037D,Glow Plug Sense Circuit,23,P0
P037E,Glow Plug Sense Circuit Low,27,P0
P037F,Glow Plug Sense Circuit High,28,P0
P0380,Glow Plug/Heater Circuit A,26,P0
P0381,Glow Plug/Heater Indicator Control Circuit/Open,47,P0
P0382,Glow Plug/Heater Circuit B,26,P0
P0383,Glow Plug Control Module 1 Control Circuit Low,46,P0
P0384,Glow Plug Control Module 1 Control Circuit High,47,P0
P0385,Crankshaft Position Sensor B Circuit,36,P0
P0386,Crankshaft Position Sensor B Circuit Range/Performance,54,P0
P0387,Crankshaft Position Sensor B Circuit Low,40,P0
P0388,Crankshaft Position Sensor B Circuit High,41,P0
P0389,Crankshaft Position Sensor B Circuit Intermittent,49,P0
P038A,Ignition I Control Signal Circuit/Open,38,P0
P038B,Ignition I Control Signal Circuit Low,37,P0
P038C,Ignition I Control Signal Circuit High,38,P0
P038D,Ignition J Control Signal Circuit/Open,38,P0
P038E,Ignition J Control Signal Circuit Low,37,P0
P038F,Ignition J Control Signal Circuit High,38,P0
P0390,Camshaft Position Sensor B Circuit Bank 2,41,P0
P0391,Camshaft Position Sensor B Circuit Range/Performance Bank 2,59,P0
P0392,Camshaft Position Sensor B Circuit Low Bank 2,45,P0
P0393,Camshaft Position Sensor B Circuit High Bank 2,46,P0
P0394,Camshaft Position Sensor B Circuit Intermittent Bank 2,54,P0
P0395,Cylinder 1 Pressure Sensor Circuit,34,P0
P0396,Cylinder 1 Pressure Sensor Circuit Range/Performance,52,P0
P0397,Cylinder 1 Pressure Sensor Circuit Low,38,P0
P0398,Cylinder 1 Pressure Sensor Circuit High,39,P0
P0399,Cylinder 1 Pressure Sensor Circuit Intermittent/Erratic,55,P0
P039A,Cylinder 1 Pressure Too Low,27,P0
P039B,Cylinder 1 Pressure Too High,28,P0
P039C,Cylinder 1 Pressure Variation Low,33,P0
P039D,Cylinder 1 Pressure Variation High,34,P0
P039E,Cylinder 1 Combustion Performance,33,P0
P039F,Cylinder 2 Pressure Sensor Circuit,34,P0
P03A0,Cylinder 2 Pressure Sensor Circuit Range/Performance,52,P0
P03A1,Cylinder 2 Pressure Sensor Circuit Low,38,P0
P03A2,Cylinder 2 Pressure Sensor Circuit High,39,P0
P03A3,Cylinder 2 Pressure Sensor Circuit Intermittent/Erratic,55,P0
P03A4,Cylinder 2 Pressure Too Low,27,P0
P03A5,Cylinder 2 Pressure Too High,28,P0
P03A6,Cylinder 2 Pressure Variation Low,33,P0
P03A7,Cylinder 2 Pressure Variation High,34,P0
P03A8,Cylinder 2 Combustion Performance,33,P0
P03A9,Cylinder 3 Pressure Sensor Circuit,34,P0
P03AA,Cylinder 3 Pressure Sensor Circuit Range/Performance,52,P0
P03AB,Cylinder 3 Pressure Sensor Circuit Low,38,P0
P03AC,Cylinder 3 Pressure Sensor Circuit High,39,P0
P03AD,Cylinder 3 Pressure Sensor Circuit Intermittent/Erratic,55,P0
P03AE,Cylinder 3 Pressure Too Low,27,P0
P03AF,Cylinder 3 Pressure Too High,28,P0
P03B0,Cylinder 3 Pressure Variation Low,33,P0
P03B1,Cylinder 3 Pressure Variation High,34,P0
P03B2,Cylinder 3 Combustion Performance,33,P0
P03B3,Cylinder 4 Pressure Sensor Circuit,34,P0
P03B4,Cylinder 4 Pressure Sensor Circuit Range/Performance,52,P0
P03B5,Cylinder 4 Pressure Sensor Circuit Low,38,P0
P03B6,Cylinder 4 Pressure Sensor Circuit High,39,P0
P03B7,Cylinder 4 Pressure Sensor Circuit Intermittent/Erratic,55,P0
P03B8,Cylinder 4 Pressure Too Low,27,P0
P03B9,Cylinder 4 Pressure Too High,28,P0
P03BA,Cylinder 4 Pressure Variation Low,33,P0
P03BB,Cylinder 4 Pressure Variation High,34,P0
P03BC,Cylinder 4 Combustion Performance,33,P0
P03BD,Cylinder 5 Pressure Sensor Circuit,34,P0
P03BE,Cylinder 5 Pressure Sensor Circuit Range/Performance,52,P0
P03BF,Cylinder 5 Pressure Sensor Circuit Low,38,P0
P03C0,Cylinder 5 Pressure Sensor Circuit High,39,P0
P03C1,Cylinder 5 Pressure Sensor Circuit Intermittent/Erratic,55,P0
P03C2,Cylinder 5 Pressure Too Low,27,P0
P03C3,Cylinder 5 Pressure Too High,28,P0
P03C4,Cylinder 5 Pressure Variation Low,33,P0
P03C5,Cylinder 5 Pressure Variation High,34,P0
P03C6,Cylinder 5 Combustion Performance,33,P0
P03C7,Cylinder 6 Pressure Sensor Circuit,34,P0
P03C8,Cylinder 6 Pressure Sensor Circuit Range/Performance,52,P0
P03C9,Cylinder 6 Pressure Sensor Circuit Low,38,P0
P03CA,Cylinder 6 Pressure Sensor Circuit High,39,P0
P03CB,Cylinder 6 Pressure Sensor Circuit Intermittent/Erratic,55,P0
P03CC,Cylinder 6 Pressure Too Low,27,P0
P03CD,Cylinder 6 Pressure Too High,28,P0
P03CE,Cylinder 6 Pressure Variation Low,33,P0
P03CF,Cylinder 6 Pressure Variation High,34,P0
P03D0,Cylinder 6 Combustion Performance,33,P0
P03D1,Cylinder 7 Pressure Sensor Circuit,34,P0
P03D2,Cylinder 7 Pressure Sensor Circuit Range/Performance,52,P0
P03D3,Cylinder 7 Pressure Sensor Circuit Low,38,P0
P03D4,Cylinder 7 Pressure Sensor Circuit High,39,P0
P03D5,Cylinder 7 Pressure Sensor Circuit Intermittent/Erratic,55,P0
P03D6,Cylinder 7 Pressure Too Low,27,P0
P03D7,Cylinder 7 Pressure Too High,28,P0
P03D8,Cylinder 7 Pressure Variation Low,33,P0
P03D9,Cylinder 7 Pressure Variation High,34,P0
P03DA,Cylinder 7 Combustion Performance,33,P0
P03DB,Cylinder 8 Pressure Sensor Circuit,34,P0
P03DC,Cylinder 8 Pressure Sensor Circuit Range/Performance,52,P0
P03DD,Cylinder 8 Pressure Sensor Circuit Low,38,P0
P03DE,Cylinder 8 Pressure Sensor Circuit High,39,P0
P03DF,Cylinder 8 Pressure Sensor Circuit Intermittent/Erratic,55,P0
P03E0,Cylinder 8 Pressure Too Low,27,P0
P03E1,Cylinder 8 Pressure Too High,28,P0
P03E2,Cylinder 8 Pressure Variation Low,33,P0
P03E3,Cylinder 8 Pressure Variation High,34,P0
P03E4,Cylinder 8 Combustion Performance,33,P0
P03E5,A Camshaft Position Actuator Position Sensor C Circuit Bank 1,61,P0
P03E6,A Camshaft Position Actuator Position Sensor C Range/Performance Bank 1,71,P0
P03E7,A Camshaft Position Actuator Position Sensor C Circuit Low Bank 1,65,P0
P03E8,A Camshaft Position Actuator Position Sensor C Circuit High Bank 1,66,P0
P03E9,A Camshaft Profile Actuator Position Sensor A Exceeded Learning Limit,69,P0
P03EA,A Camshaft Profile Actuator Position Sensor B Exceeded Learning Limit,69,P0
P03EB,A Camshaft Profile Actuator Position Sensor C Exceeded Learning Limit,69,P0
P03EC,A Camshaft Profile Actuator C Control Circuit/Open Bank 1,57,P0
P03ED,A Camshaft Profile Actuator C Control Circuit Low Bank 1,56,P0
P03EE,A Camshaft Profile Actuator C Control Circuit High Bank 1,57,P0
P03EF,A Camshaft Profile Actuator C Control Performance/Stuck Off Bank 1,66,P0
P03F0,A Camshaft Profile Actuator C Control Stuck On Bank 1,53,P0
P03F1,B Camshaft Profile Actuator C Control Circuit/Open Bank 1,57,P0
P03F2,B Camshaft Profile Actuator C Control Circuit Low Bank 1,56,P0
P03F3,B Camshaft Profile Actuator C Control Circuit High Bank 1,57,P0
P03F4,B Camshaft Profile Actuator C Control Performance/Stuck Off Bank 1,66,P0
P03F5,B Camshaft Profile Actuator C Control Stuck On Bank 1,53,P0
P03F6,B Camshaft Position Actuator Position Sensor C Circuit Bank 1,61,P0
P03F7,B Camshaft Position Actuator Position Sensor C Range/Performance Bank 1,71,P0
P03F8,B Camshaft Position Actuator Position Sensor C Circuit Low Bank 1,65,P0
P03F9,B Camshaft Position Actuator Position Sensor C Circuit High Bank 1,66,P0
P03FA,Ignition K Control Signal Circuit/Open,38,P0
P03FB,Ignition K Control Signal Circuit Low,37,P0
P03FC,Ignition K Control Signal Circuit High,38,P0
P03FD,Ignition L Control Signal Circuit/Open,38,P0
P03FE,Ignition L Control Signal Circuit Low,37,P0
P03FF,Ignition L Control Signal Circuit High,38,P0
P0400,EGR A Flow,10,P0
P0401,EGR A Flow Insufficient Detected,32,P0
P0402,EGR A Flow Excessive Detected,29,P0
P0403,EGR A Control Circuit/Open,26,P0
P0404,EGR A Control Circuit Range/Performance,39,P0
P0405,EGR Sensor A Circuit Low,24,P0
P0406,EGR Sensor A Circuit High,25,P0
P0407,EGR Sensor B Circuit Low,24,P0
P0408,EGR Sensor B Circuit High,25,P0
P0409,EGR Sensor A Circuit,20,P0
P040A,EGR Temperature Sensor A Circuit,32,P0
P040B,EGR Temperature Sensor A Circuit Range/Performance,50,P0
P040C,EGR Temperature Sensor A Circuit Low,36,P0
P040D,EGR Temperature Sensor A Circuit High,37,P0
P040E,EGR Temperature Sensor A Circuit Intermittent/Erratic,53,P0
P040F,EGR Temperature Sensor A/B Correlation,38,P0
P0410,AIR System A,12,P0
P0411,AIR System A Incorrect Flow Detected,36,P0
P0412,AIR System Switching Valve A Circuit,36,P0
P0413,AIR System Switching Valve A Circuit Open,41,P0
P0414,AIR System Switching Valve A Circuit Shorted,44,P0
P0415,AIR System Switching Valve B Circuit,36,P0
P0416,AIR System Switching Valve B Circuit Open,41,P0
P0417,AIR System Switching Valve B Circuit Shorted,44,P0
P0418,AIR System Control A Circuit,28,P0
P0419,AIR System Control B Circuit,28,P0
P041A,EGR Temperature Sensor B Circuit,32,P0
P041B,EGR Temperature Sensor B Circuit Range/Performance,50,P0
P041C,EGR Temperature Sensor B Circuit Low,36,P0
P041D,EGR Temperature Sensor B Circuit High,37,P0
P041E,EGR Temperature Sensor B Circuit Intermittent/Erratic,53,P0
P041F,AIR System Switching Valve A Circuit Low,40,P0
P0420,Catalyst System Efficiency Below Threshold Bank 1,49,P0
P0421,Catalyst 1 Efficiency Below Threshold Bank 1,44,P0
P0422,Catalyst 2 Efficiency Below Threshold Bank 1,44,P0
P0423,Heated Catalyst Efficiency Below Threshold Bank 1,49,P0
P0424,Heated Catalyst Temperature Below Threshold Bank 1,50,P0
P0425,Catalyst Temperature Sensor Circuit Bank 1 Sensor 1,51,P0
P0426,Catalyst Temperature Sensor Circuit Range/Performance Bank 1 Sensor 1,69,P0
P0427,Catalyst Temperature Sensor Circuit Low Bank 1 Sensor 1,55,P0
P0428,Catalyst Temperature Sensor Circuit High Bank 1 Sensor 1,56,P0
P0429,Catalyst Heater Control Circuit/Open Bank 1,43,P0
P042A,Catalyst Temperature Sensor Circuit Bank 1 Sensor 2,51,P0
P042B,Catalyst Temperature Sensor Circuit Range/Performance Bank 1 Sensor 2,69,P0
P042C,Catalyst Temperature Sensor Circuit Low Bank 1 Sensor 2,55,P0
P042D,Catalyst Temperature Sensor Circuit High Bank 1 Sensor 2,56,P0
P042E,EGR A Control Stuck Open,24,P0
P042F,EGR A Control Stuck Closed,26,P0
P0430,Catalyst System Efficiency Below Threshold Bank 2,49,P0
P0431,Catalyst 1 Efficiency Below Threshold Bank 2,44,P0
P0432,Catalyst 2 Efficiency Below Threshold Bank 2,44,P0
P0433,Heated Catalyst Efficiency Below Threshold Bank 2,49,P0
P0434,Heated Catalyst Temperature Below Threshold Bank 2,50,P0
P0435,Catalyst Temperature Sensor Circuit Bank 2 Sensor 1,51,P0
P0436,Catalyst Temperature Sensor Circuit Range/Performance Bank 2 Sensor 1,69,P0
P0437,Catalyst Temperature Sensor Circuit Low Bank 2 Sensor 1,55,P0
P0438,Catalyst Temperature Sensor Circuit High Bank 2 Sensor 1,56,P0
P0439,Catalyst Heater Control Circuit/Open Bank 2,43,P0
P043A,Catalyst Temperature Sensor Circuit Bank 2 Sensor 2,51,P0
P043B,Catalyst Temperature Sensor Circuit Range/Performance Bank 2 Sensor 2,69,P0
P043C,Catalyst Temperature Sensor Circuit Low Bank 2 Sensor 2,55,P0
P043D,Catalyst Temperature Sensor Circuit High Bank 2 Sensor 2,56,P0
P043E,EVAP System Leak Detection Reference Orifice Low Flow,53,P0
P043F,EVAP System Leak Detection Reference Orifice High Flow,54,P0
P0440,EVAP System,11,P0
P0441,EVAP System Incorrect Purge Flow,32,P0
P0442,EVAP System Leak Detected (small leak),38,P0
P0443,EVAP System Purge Control Valve A Circuit,41,P0
P0444,EVAP System Purge Control Valve A Circuit Open,46,P0
P0445,EVAP System Purge Control Valve A Circuit Shorted,49,P0
P0446,EVAP System Vent Control Circuit,32,P0
P0447,EVAP System Vent Control Circuit Open,37,P0
P0448,EVAP System Vent Control Circuit Shorted,40,P0
P0449,EVAP System Vent Valve Control Circuit/Open,43,P0
P044A,EGR Sensor C Circuit,20,P0
P044B,EGR Sensor C Circuit Range/Performance,38,P0
P044C,EGR Sensor C Circuit Low,24,P0
P044D,EGR Sensor C Circuit High,25,P0
P044E,EGR Sensor C Circuit Intermittent/Erratic,41,P0
P044F,AIR System Switching Valve A Circuit High,41,P0
P0450,EVAP System Pressure Sensor/Switch A Circuit,44,P0
P0451,EVAP System Pressure Sensor/Switch A Circuit Range/Performance,62,P0
P0452,EVAP System Pressure Sensor/Switch A Circuit Low,48,P0
P0453,EVAP System Pressure Sensor/Switch A Circuit High,49,P0
P0454,EVAP System Pressure Sensor/Switch A Circuit Intermittent,57,P0
P0455,EVAP System Leak Detected - Large Leak,38,P0
P0456,EVAP System Leak Detected (very small leak),43,P0
P0457,EVAP System Leak Detected (fuel cap loose/off),46,P0
P0458,EVAP System Purge Control Valve A Circuit Low,45,P0
P0459,EVAP System Purge Control Valve A Circuit High,46,P0
P045A,EGR B Control Circuit,21,P0
P045B,EGR B Control Circuit Range/Performance,39,P0
P045C,EGR B Control Circuit Low,25,P0
P045D,EGR B Control Circuit High,26,P0
P045E,EGR B Control Stuck Open,24,P0
P045F,EGR B Control Stuck Closed,26,P0
P0460,Fuel Level Sensor A Circuit,27,P0
P0461,Fuel Level Sensor A Circuit Range/Performance,45,P0
P0462,Fuel Level Sensor A Circuit Low,31,P0
P0463,Fuel Level Sensor A Circuit High,32,P0
P0464,Fuel Level Sensor A Circuit Intermittent,40,P0
P0465,EVAP Purge Flow Sensor Circuit,30,P0
P0466,EVAP Purge Flow Sensor Circuit Range/Performance,48,P0
P0467,EVAP Purge Flow Sensor Circuit Low,34,P0
P0468,EVAP Purge Flow Sensor Circuit High,35,P0
P0469,EVAP Purge Flow Sensor Circuit Intermittent,43,P0
P046A,Catalyst Temperature Sensor 1/2 Correlation Bank 1,50,P0
P046B,Catalyst Temperature Sensor 1/2 Correlation Bank 2,50,P0
P046C,EGR Sensor A Circuit Range/Performance,38,P0
P046D,EGR Sensor A Circuit Intermittent/Erratic,41,P0
P046E,EGR Sensor B Circuit Range/Performance,38,P0
P046F,EGR Sensor B Circuit Intermittent/Erratic,41,P0
P0470,Exhaust Pressure Sensor A Circuit,33,P0
P0471,Exhaust Pressure Sensor A Circuit Range/Performance,51,P0
P0472,Exhaust Pressure Sensor A Circuit Low,37,P0
P0473,Exhaust Pressure Sensor A Circuit High,38,P0
P0474,Exhaust Pressure Sensor A Circuit Intermittent/Erratic,54,P0
P0475,Exhaust Pressure Control Valve A,32,P0
P0476,Exhaust Pressure Control Valve A Range/Performance,50,P0
P0477,Exhaust Pressure Control Valve A Low,36,P0
P0478,Exhaust Pressure Control Valve A High,37,P0
P0479,Exhaust Pressure Control Valve A Intermittent,45,P0
P047A,Exhaust Pressure Sensor B Circuit,33,P0
P047B,Exhaust Pressure Sensor B Circuit Range/Performance,51,P0
P047C,Exhaust Pressure Sensor B Circuit Low,37,P0
P047D,Exhaust Pressure Sensor B Circuit High,38,P0
P047E,Exhaust Pressure Sensor B Circuit Intermittent/Erratic,54,P0
P047F,Exhaust Pressure Control Valve A Stuck Open,43,P0
P0480,Fan 1 Control Circuit,21,P0
P0481,Fan 2 Control Circuit,21,P0
P0482,Fan 3 Control Circuit,21,P0
P0483,Fan Rationality Check,21,P0
P0484,Fan Circuit Current High,24,P0
P0485,Fan Power/Ground Circuit,24,P0
P0486,EGR Sensor B Circuit,20,P0
P0487,EGR Throttle Control Circuit A /Open,36,P0
P0488,EGR Throttle Control Circuit A Range/Performance,48,P0
P0489,EGR A Control Circuit Low,25,P0
P048A,Exhaust Pressure Control Valve A Stuck Closed,45,P0
P048B,Exhaust Pressure Control Valve A Position Sensor/Switch Circuit,63,P0
P048C,Exhaust Pressure Control Valve A Position Sensor/Switch Circuit Range/Performance,81,P0
P048D,Exhaust Pressure Control Valve A Position Sensor/Switch Circuit Low,67,P0
P048E,Exhaust Pressure Control Valve A Position Sensor/Switch Circuit High,68,P0
P048F,Exhaust Pressure Control Valve A Position Sensor/Switch Circuit Intermittent/Erratic,84,P0
P0490,EGR A Control Circuit High,26,P0
P0491,AIR System Insufficient Flow Bank 1,35,P0
P0492,AIR System Insufficient Flow Bank 2,35,P0
P0493,Fan Overspeed,13,P0
P0494,Fan 1 Underspeed,16,P0
P0495,Fan 1 Overspeed,15,P0
P0496,EVAP System High Purge Flow,27,P0
P0497,EVAP System Low Purge Flow,26,P0
P0498,EVAP System Vent Valve Control Circuit Low,42,P0
P0499,EVAP System Vent Valve Control Circuit High,43,P0
P049A,EGR B Flow,10,P0
P049B,EGR B Flow Insufficient Detected,32,P0
P049C,EGR B Flow Excessive Detected,29,P0
P049D,EGR A Control Position Exceeded Learning Limit,46,P0
P049E,EGR B Control Position Exceeded Learning Limit,46,P0
P049F,Exhaust Pressure Control Valve B,32,P0
P04A0,Exhaust Pressure Control Valve B Range/Performance,50,P0
P04A1,Exhaust Pressure Control Valve B Low,36,P0
P04A2,Exhaust Pressure Control Valve B High,37,P0
P04A3,Exhaust Pressure Control Valve B Intermittent,45,P0
P04A4,Exhaust Pressure Control Valve B Stuck Open,43,P0
P04A5,Exhaust Pressure Control Valve B Stuck Closed,45,P0
P04A6,Exhaust Pressure Control Valve B Position Sensor/Switch Circuit,63,P0
P04A7,Exhaust Pressure Control Valve B Position Sensor/Switch Circuit Range/Performance,81,P0
P04A8,Exhaust Pressure Control Valve B Position Sensor/Switch Circuit Low,67,P0
P04A9,Exhaust Pressure Control Valve B Position Sensor/Switch Circuit High,68,P0
P04AA,Exhaust Pressure Control Valve B Position Sensor/Switch Circuit Intermittent/Erratic,84,P0
P04AB,EVAP System Purge Control Valve B Circuit/Open,46,P0
P04AC,EVAP System Purge Control Valve B Circuit Low,45,P0
P04AD,EVAP System Purge Control Valve B Circuit High,46,P0
P04AE,EVAP System Purge Control Valve B Performance/Stuck Open,56,P0
P04AF,EVAP System Purge Control Valve B Stuck Closed,46,P0
P04B0,Refueling Vapor Control Valve Circuit/Open,42,P0
P04B1,Refueling Vapor Control Valve Circuit Low,41,P0
P04B2,Refueling Vapor Control Valve Circuit High,42,P0
P04B3,Refueling Vapor Control Valve Stuck Performance/Stuck Open,58,P0
P04B4,Refueling Vapor Control Valve Stuck Closed,42,P0
P04B5,Fuel Fill Door Stuck Open,25,P0
P04B6,Fuel Fill Door Stuck Closed,27,P0
P04B7,Fuel Fill Door Position Sensor/Switch Circuit Intermittent/Erratic,66,P0
P04B8,Fuel Fill Door Position Sensor/Switch Circuit,45,P0
